184,Велосипедная парковка № 37067 «Школа № 961»,37.593928,55.881088,Северо-Восточный административный округ
417,Велосипедная парковка № 37068 «Школа № 962»,37.593089,55.859861,Северо-Восточный административный округ
416,Велосипедная парковка № 37069 «Школа № 1201»,37.65955,55.81864,Северо-Восточный административный округ
422,Велосипедная парковка № 37041 «Школа здоровья № 606»,37.613951,55.872285,Северо-Восточный административный округ
181,Велосипедная парковка № 37042 «Школа № 655»,37.58155,55.895,Северо-Восточный административный округ
118,Велосипедная парковка № 37043 «Школа здоровья № 709»,37.556129,55.935553,Северо-Восточный административный округ
202,Велосипедная парковка № 35004 «Школа № 438»,37.724538,55.616475,Южный административный округ
367,Велосипедная парковка № 35019 «Центр образования № 1420»,37.81441,55.701124,Юго-Восточный административный округ
370,Велосипедная парковка № 35021 «Гимназия № 1597»,37.816572,55.708719,Юго-Восточный административный округ
133,Велосипедная парковка № 35026 «Технологический колледж № 21»,37.771828,55.801957,Восточный административный округ
126,Велосипедная парковка № 36006 «Школа № 402»,37.834713,55.724504,Восточный административный округ
130,Велосипедная парковка № 36012 «Школа № 450»,37.786306,55.753743,Восточный административный округ
125,Велосипедная парковка № 36022 «Центр образования № 1443»,37.889755,55.715022,Восточный административный округ
128,Велосипедная парковка № 36024 «Гимназия № 1504»,37.83825,55.762045,Восточный административный округ
329,Велосипедная парковка № 37001 «Школа № 240»,37.622961,55.864549,Северо-Восточный административный округ
186,Велосипедная парковка № 37012 «Школа № 255»,37.603887,55.892807,Северо-Восточный административный округ
185,Велосипедная парковка № 37011 «Школа № 254»,37.598571,55.894245,Северо-Восточный административный округ
420,Велосипедная парковка № 37073 «Школа № 1236»,37.58286,55.817584,Северо-Восточный административный округ
335,Велосипедная парковка № 37077 «Школа № 1370»,37.596338,55.884057,Северо-Восточный административный округ
430,Велосипедная парковка № 37078 «Школа № 1374»,37.704062,55.868595,Северо-Восточный административный округ
115,Велосипедная парковка № 37079 «Школа № 1378»,37.548556,55.915062,Северо-Восточный административный округ
170,Велосипедная парковка № 37081 «Школа № 1381»,37.691162,55.873159,Северо-Восточный административный округ
424,Велосипедная парковка № 37082 «Школа № 1411»,37.601213,55.866554,Северо-Восточный административный округ
182,Велосипедная парковка № 37087 «Школа № 1416»,37.581654,55.893573,Северо-Восточный административный округ
114,Велосипедная парковка № 37090 «Школа № 2044»,37.54175,55.926997,Северо-Восточный административный округ
172,Велосипедная парковка № 37092 «Школа надомного обучения № 388»,37.590443,55.893757,Северо-Восточный административный округ
105,Велосипедная парковка № 37099 «Центр образования № 951»,37.677292,55.891917,Северо-Восточный административный округ
175,Велосипедная парковка № 37100 «Центр образования № 953»,37.589248,55.896067,Северо-Восточный административный округ
176,Велосипедная парковка № 37101 «Центр образования № 1430»,37.577714,55.900665,Северо-Восточный административный округ
122,Велосипедная парковка № 37105 «Центр образования № 1449»,37.570001,55.894775,Северо-Восточный административный округ
415,Велосипедная парковка № 37108 «Центр образования № 1464»,37.655906,55.812986,Северо-Восточный административный округ
431,Велосипедная парковка № 37109 «Центр образования № 1470»,37.644956,55.813659,Северо-Восточный административный округ
421,Велосипедная парковка № 37111 «Центр образования № 1486»,37.588455,55.855079,Северо-Восточный административный округ
116,Велосипедная парковка № 37112 «Центр образования № 1490»,37.554749,55.903455,Северо-Восточный административный округ
58,Велосипедная парковка № 37113 «Центр образования № 1491»,37.590265,55.864847,Северо-Восточный административный округ
104,Велосипедная парковка № 37119 «Школа здоровья № 287»,37.632132,55.808702,Северо-Восточный административный округ
331,Велосипедная парковка № 37121 «Школа здоровья № 1099»,37.723635,55.874079,Северо-Восточный административный округ
357,Велосипедная парковка № 35005 «Школа № 463»,37.671614,55.679529,Южный административный округ
284,Велосипедная парковка № 35007 «Школа № 492»,37.687748,55.680953,Южный административный округ
289,Велосипедная парковка № 35008 «Школа № 492»,37.687476,55.682231,Южный административный округ
